Title,City,Company,Type,Date Posted,Experience Needed,Career Level,Education Level,Salary,Description,,,,,,,,,
Senior Software Business Analyst,Cairo,Trufla,Full Time,Posted 9 days ago,More than 5 years,Experienced (Non-Manager),Not Specified,Confidential,Think insurance is boring? Think again.Trufla Technology is a multinational Canadian company and the first of its kind – we offer a complete suite of digital solutions for the modern insurance brokerage. From SEO and web design to lead management branded customer service and API’s Trufla provides a 360° digital strategy for brokerages and reimagines the way their customers interact with insurance. Trufla is leading a digital revolution that will transform the insurance industry! We’re growing fast and we’re looking for visionaries to join our team of innovators and disruptors at our Cairo offices. It’s our goal for Trufla to be the BEST place to work. A great corporate culture is one of our top priorities.Main Benefits:Competitive Salary Connected to USD exchange rateEmployees Share Ownership ProgramHealth InsuranceFlexible Working HoursContinuing Education OpportunitiesHybrid work modelTeam Building ActivitiesMilestone celebrations – work anniversaries birthday celebrations etc.About YouAs a Business Analyst you are familiar with the software development industry and Agile principles as well as traditional documentation of business processes. Your attention to detail and drive to create accurate descriptions and diagrams can be relentless. You understand that in your position you must stand at the center between multiple parties who hold different vocabularies and priorities and become a subject-matter-expert and translator. You have tremendous patience and can work with people to help them communicate their own ideas clearly. You have strong English language skills both spoken and written. As a Business Analyst you are flexible in how you communicate ideas – you are comfortable creating whatever materials your customers and team require in order to understand the concepts and problems. You use one-on-one conversation conference calls presentations meetings spreadsheets diagrams flowcharts email or complex documents in order to collect and express ideas in the manner your audience prefers. Because of your flexible communication style you are familiar with various popular applications which are commonly used in corporate environments. You are also passionate about estimating and planning. You're extremely well organized and can balance multiple tasks and competing priorities.Job ResponsibilitiesWorking under the supervision of and taking direction from your Team Lead Project Manager Product Owner and direct ManagerCreate any materials in a required format to communicate ideas concepts design or status to a given audienceCreate new and update existing documentation for processes products and architecture as requiredApply knowledge acquired to act as a subject matter expert (SME) where requiredAssist in corporate change management where directedDuties as assigned,,,,,,,,,
Senior Talend Architect,Cairo,Sceel.io,Full Time,Posted 9 days ago,4 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,Collaborate with stakeholders to understand data integration requirements and objectives.Design and architect end-to-end data integration solutions using Talend ensuring scalability performance and maintainability.Lead and mentor a team of data engineers in the development and implementation of Talend-based ETL processes.Analyze and optimize data workflows identifying bottlenecks and areas for improvement.Define best practices and standards for Talend development within the organization.Ensure data quality and data governance principles are integrated into the ETL processes.Work closely with database administrators and data architects to design data models and schema for integration projects.Collaborate with other IT teams to integrate Talend solutions with other systems and applications.Stay up-to-date with Talend product updates and industry best practices.Provide technical leadership and guidance on Talend-related projects.Work Setup:,,,,,,,,,
Data Solution Architect,Cairo,Sceel.io,Full Time,Posted 9 days ago,5 to 8 years,Experienced (Non-Manager),Not Specified,Confidential,Collaborate with business and IT stakeholders to understand data requirements and objectives.Design end-to-end data solutions including data architecture data integration and data modeling to support business processes and analytics.Evaluate and select data technologies and tools that align with the organization's data strategy.Develop and maintain data architecture blueprints data flow diagrams and solution documentation.Provide technical leadership and guidance to development teams during the implementation of data solutions.Ensure data solutions are scalable reliable and adhere to data security and compliance standards.Collaborate with data engineers and data scientists to optimize data processing and analysis.Lead data governance and data quality initiatives ensuring data consistency and accuracy.Stay updated with emerging data technologies and industry best practices.Participate in data strategy development and roadmapping discussions.,,,,,,,,,
Data Management Consultant,Cairo,Sceel.io,Full Time,Posted 9 days ago,5 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,Collaborate with stakeholders to assess data management needs and develop data governance policies and procedures.Design and implement data management frameworks including data quality data security data integration and data lifecycle management.Evaluate and select data management tools and technologies to support data initiatives.Lead data profiling and data cleansing efforts to ensure data accuracy and consistency.Develop and maintain data dictionaries metadata catalogs and data lineage documentation.Monitor data quality and integrity identifying and resolving data issues as they arise.Assist in the design and implementation of data warehouses data lakes and data pipelines.Provide training and guidance to teams on data management best practices.Stay current with industry trends and emerging data management technologies.Collaborate with compliance and legal teams to ensure data privacy and regulatory compliance.Participate in data architecture and modeling discussions to support business intelligence and analytics initiatives.,,,,,,,,,
UI UX Designer,Cairo,CyberX,Full Time,Posted 10 days ago,3 to 10 years,Experienced (Non-Manager),Not Specified,15000 to 30000 EGP Per Month,Gather and evaluate user requirements in collaboration with product managers and engineersIllustrate design ideas using storyboards process flows and sitemapsDesign graphic user interface elements like menus tabs and widgetsBuild page navigation buttons and search fieldsDevelop UI mockups and prototypes that clearly illustrate how sites function and look likeCreate original graphic designs (e.g. images sketches and tables)Prepare and present rough drafts to internal teams and key stakeholdersIdentify and troubleshoot UX problems (e.g. responsiveness)Conduct layout adjustments based on user feedbackAdhere to style standards on fonts colors and images,,,,,,,,,
Unity Game Developer 3D,Cairo,CyberX,Full Time,Posted 10 days ago,2 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Our mission is to provide innovative solutions to Awareness and digital knowledge seeking growth and to give players thrilling gaming experiences always put customers first by providing consistent service and unique products that outperform competitors and foster a work environment for employees that encourages teamwork imagination and continuous improvement. We are proud that our influence positively impacts Awareness Industry.Our Core Values are: Be a Team Player; Have a Game Plan; Be Reliable; Be a Game Changer; Play Fair; Be a Pro; and Have Fun! Position SummaryThe Unity Game Developer is part of a team developing the next generation of slot games for various CyberSecurity Awareness. This is a hands-on developer role responsible for coding learning on the job and working with many different technologies.Essential Duties and ResponsibilitiesImplement new games for various marketsPort games to Unity from existing non-Unity platformsPrototype new featuresParticipate in all phases of the software development lifecycleAnalyze design requirements and build them outDevelop new functionality into existing code frameworkBug fixing in existing codeOptimize for device performanceIntegrate new external features with UIFollow best practicesPerform other tasks and duties as needed and/or requested by management.Education & Experience RequirementsBachelor of Science Degree or equivalent technical experience required2-5+ years demonstrated experience in Unity C#/C++.Multi-platform building experienceExperience with sockets/network programmingExperience writing automated unit testsExtended UI building abilityExperience with Unity 3D ModelingBackground in casino gaming is a plus Knowledge and Abilities RequirementsProven working experience in full lifecycle game developmentHigh level knowledge of APIs and librariesExpert in one or more programming specialties (artificial intelligence 3D Rendering 3D animation physics multiplayer/networking or audio)Knowledgeable with MecanimKnowledgeable with TimelineKnowledgeable with CinemachineExperience with rigid bodies character animations rigsShader scripting knowledgeDeep familiarity with Unity components and scripts (UI animation audio)Strong understanding of UX principleAbility to adapt to new technologies quicklyExcellent problem-solving skillsExcellent communication skillsMust be team oriented and have a positive attitudeWe thank all that apply; however only the most qualified candidates selected for an interview will be contacted. Employment is contingent upon a satisfactory response from a Background Screening (Criminal History Search and Drug Test).To ALL Recruitment Agencies: We do not accept unsolicited agency resumes and we are not responsible for any fees related to unsolicited resumes.,,,,,,,,,
Application Support Engineer,Giza,Perfect Presentation,Full Time,Posted 10 days ago,5 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Working closely with development and operations teams to identify and resolve performance and availability issues in applications and infrastructure.Designing and deploying application to ensure complete coverage of applications and infrastructure.Creating reports to provide actionable insights to stakeholders.Providing technical support to other teams and stakeholders.Maintaining and upgrading componanet related to App (API DB etc) to ensure they are up-to-date and fully functional.Conducting performance tuning and optimization of applications and infrastructure based on insights from monitoring tools.Conducting root cause analysis of performance and availability issues.,,,,,,,,,
Monitoring Assistant SC,Cairo,World Food Program - Other Locations,Full Time,Posted 10 days ago,Not Specified,Not specified,Not Specified,Confidential,OB PURPOSETo coordinate and perform monitoring activities and provide reports to support the effective delivery of assistance packages.KEY ACCOUNTABILITIES (not all-inclusive)1.Verify the planned distribution and redemption of food or non-food items to ensure that the quantity distributed and the quality of the operation is in line with WFP standards.2. Collect and summarize assistance programme(s) data collaborating with cooperating partners where required conduct analysis and prepare reports in order to support programme reviews and informative decision-making. Data to be collected is both qualitative and quantitative and is to be collected both remotely through phone calls and in-person through field visits.3. Liaise with cooperating partners and internal counterparts to gather feedback and comments to support programme reviews and improve services.4. Suggest improvements to field monitoring processes and procedures for efficient implementation of the assistance programmes.5. Arrange for regular meetings with community leaders and cooperating partners on activity monitoring and evaluations.6. Provide standard trainings for cooperating partners on WFP operational practices monitoring tools and methods in order to support them to independently self-monitor.8. Prepare field mission reports to document programme monitoring.9. Facilitate and support evaluation exercises undertaken by external evaluation teams.10. Ensure timely input of monitoring data on-line systems that are in use by WFP.11. Handle admin and financial processes as needed by the M&E unit.12. Others as requested.,,,,,,,,,
Scrum Master,Cairo,Expert Apps,Full Time,Posted 10 days ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Job Description:Leading the planning and execution of development and delivery of each release of one or more products to a high standard.Promoting and assuring use of the agreed agile methodologies and tools.Maintaining an awareness of opportunities provided by new technology to address challenges and enable new ways of working.Develops and maintains a skill profile of the team ensuring that the team is at all times capable of executing all relevant tasks to deliver the agreed client solutions.Implementing change efforts to improve process and practice.Actively manages their team member and fosters personal and professional growth.Developing a deep understanding of domains customers products and technologies.Collaborating with other Team Leads in the organization in delivering products and improving the way we work.Facilitating the daily standup and helping the team sprint planning review meeting and retrospective meetings.Making sure everyone on the team understands the project’s goals and scope.Helping the product owner maintain the product backlog.,,,,,,,,,
Senior Systems Engineer,Giza,FinBi Finance & Banking ...,Full Time,Posted 10 days ago,5 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,Planning implementing managing monitoring and upgrading security measures for the protection of the organization's data and systems. Lead/Support System engineers with installation activities providing guidance and ensuring that the implementation is up to the required standards and in accordance with the set milestones. Installing Configuring troubleshooting and monitoring the daily performance of VMs/Services. Testing and identifying system vulnerabilities and planning a strategy to fix them with less down time Using KSC 14.2.  Installing Configuring troubleshooting and hardening windows/servers-based systems. Investigate and identify the root cause of incidents. Provide third-level support to the technical System engineers. Prepare and submit weekly and monthly progress report to operations Manager to clarify the status and progress of the assigned task. Check all Security Policy and enhance them implement new polices after management approval. Configuring and maintaining the VMware vSphere and vCenter. Design and implement Backup Solutions to maintain the data availability. Supervise the enrichment of the knowledge base and lesson learned.  Provide technical training to new staff and measure their capabilities. Dealing with Vendors to meet business requirements.,,,,,,,,,
Business Developer,Cairo,Our Education,Full Time,Posted 10 days ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Identifying business opportunities building and maintaining successful relationships with prospects existing and past clients and collaborating with executives on business strategy to determine objectives to maximize business reach and potential through different sales tools.,,,,,,,,,
Senior Technical Support,Giza,FinBi Finance & Banking Consultants International,Full Time,Posted 10 days ago,5 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,Deliver exceptional support to customers through phone email and chat. This team member will be expected to lead by example organize work build reports handle escalations and help with ad hoc tasks.Work as a senior agent to drive customer satisfaction through customer support.Provide direct supervision of the technical support staff which may include evaluations and disciplinary actions.Provide second Third line support for both internal and external customers.Participates in the creation and maintenance of knowledge database content.Involved with the operational delivery and new product and feature releases.Ensure that all customer inquiries and issues are solved correctly and promptly and professionally.Implement any necessary preventive measures to reduce customer faults and issues.Maintaining and supporting computer hardware/software periodically using the preventive maintenance plan. Maintain IT support system (Ticketing System IT Asset and IT Inventory)Evaluate current equipment performance and status for upgrade/replace process.Maintain a changelog for each systems documentation piece.,,,,,,,,,
Senior Network security engineer,Giza,FinBi Finance & Banking Consultants International,Full Time,Posted 10 days ago,5 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,Managing the daily operation and implementation of the Network security strategyConducting a continuous assessment of current Network security practices and systems and identifying areas for improvementConfigure and install various network devices and services (e.g. routers switches firewalls load balancers VPN)Perform network maintenance and system upgrades including Firmware patches hot fixes and security configurations.Managing endpoint Security solutions on-premises or cloudMonitor performance and ensure system availability and reliability.Monitor system resource utilization trending and capacity planning.Provide Level-2/3 support and troubleshooting to resolve issues.Work within established configuration and change management policies to ensure awareness approval and success of changes made to the network infrastructure.Select and implement security tools policies and procedures in conjunction with the company’s team.Manage Administrate of network and security protocols (e.g. IPSEC HSRP OSPF 802.11 QoS)Running security audits and risk assessmentsDelivering new security technology approaches and implementing next-generation solutionsEnsuring compliance and governance is met.Driving change projects and building new Network capabilitiesDeveloping and implementing business continuity plans to ensure service is continuous when a change program is introduced or a security breach occurs or if the disaster recovery plan needs to be triggered.Protecting the intellectual property of the organization regularly.Devising strategies and implementing Network solutions to minimize the risk of cyber-attacks.Managing the Network security budget and communicating this with the Operations manager  Liaise with vendors and other IT personnel for problem resolution.Manage Administrate Configure most of the following solution:- SonicWALL Sophos Fortinet Paloalto Firewall and Analyzer- Kaspersky Endpoint Security EDR and Sandboxing- WAF and load balancer- DLP and Data classification- Aruba Network Admission Control,,,,,,,,,
SaaS Product Manager,Giza,Bevatel,Full Time,Posted 10 days ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,#NAME?,,,,,,,,,
Finance Manager,Cairo,Aswaq,Full Time,Posted 10 days ago,10 to 18 years,Manager,Not Specified,25000 to 40000 EGP Per Month Semi-annual incentives,Calculate the risks involved in the financial activities of the company.Develop standard accounting procedures to improve financial operations efficiency.Provide financial reports and interpret financial information to managerial staff while recommending further courses of action.Control income cash flow and expenditure.Develop corporate budget along with its management and monitoring processes.Evaluate the financial performance of the company and measure returns on investments.Provide financial insight and analysis to drive the business performance of the company.Manage and monitor the business metrics KPIs tracking and reports.Make estimates of funds required for the short and long-term financial objectives of the company.Ensure the accuracy of all entries for registering expenses& revenue banks transactions purchase sales and payroll.Responsible of social insurance settlement.Prepare files of taxes accounts.Restructuring of stressed Balance Sheet to maintain the right level of fund requirements.Improve the working capital and maximize the free cash flow.Develop strategies for optimizing the company’s liquidity and credit availability.Ensure the effectiveness of the ERP system implementation. Responsible for mapping and identifying improvement of existing finance and operation processesConduct feasibility studies and investment analysis as needed.Monitor and analyze monthly operating results against the budget flagging items for follow-up and highlighting significant developments to top management when necessary.Recommend and monitor benchmarks for measuring the financial performanceWork with managers to develop short term & long term financial goals for the companyManage all staff in finance department all over the whole locations of the company.Oversee cash management banking and financial institution relationships. Negotiate bank and service fees. Monitor and analyze monthly operating results against the budget flagging items for follow-up and highlighting significant developments to top management when necessary.,,,,,,,,,
Full-Stack .NET Web Developer,Cairo,Nahr Development,Full Time,Posted 10 days ago,6 to 10 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Work with development teams and product managers to ideate software solutionsDesign client-side and server-side architectureBuild the front-end of applications through appealing visual designDevelop and manage well-functioning databases and applicationsWrite effective APIsTest software to ensure responsiveness and efficiencyTroubleshoot debug and upgrade softwareCreate security and data protection settingsBuild features and applications with a mobile responsive designWrite technical documentationWork with data scientists and analysts to improve software,,,,,,,,,
Senior Full Stack Developer,Cairo,EGID company,Full Time,Posted 10 days ago,5 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,This is a full-time on-site Senior Full Stack Developer role located in New Cairo. The Senior Full Stack Developer will be responsible for back-end and front-end web development software development and creating and implementing Cascading Style Sheets (CSS). Day-to-day tasks include programming debugging software analyzing business requirements and collaborating with cross-functional teams.,,,,,,,,,
IT Support Engineer,Giza,Al-Meshka,Part Time,Posted 10 days ago,6 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,the job description can feature:Installing and configuring computer hardware software systems networks printers and scannersMonitoring and maintaining computer systems and networksResponding in a timely manner to service issues and requestsProviding technical support across the company (this may be in person or over the phone)Setting up accounts for new usersRepairing and replacing equipment as necessaryTesting new technology,,,,,,,,,
Senior PHP Developer,Cairo,International Advanced,Full Time,Posted 10 days ago,4 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,You'll be involved in the entire product lifecycle including the design development deployment and maintenance of new and existing features.You'll also produce detailed specifications.Your code will be written in a timely and scalable way all while ensuring strong optimization.,,,,,,,,,
Product Owner,Cairo,waffarha.com,Full Time,Posted 10 days ago,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Coordinating with designers and other members of the development team to ensure product development matches customer needs.Communicating with stakeholders throughout the organization to ensure they have the information they need to make decisions.Reviewing customer feedback and data to determine potential improvements to products or processes.Ensuring that all projects are aligned with company goals and objectives.Creating a product roadmap based on customer feedback and requirements from senior leadership.Analyzing customer data to determine which features will resonate most with target audiences.Facilitating brainstorming sessions and design reviews with stakeholders to gather input on new features.Working with development teams to gather requirements for new features and products.Acting as a liaison between customers and developers by providing feedback on product design.,,,,,,,,,
Sr. Full-Stack Mobile Developer,Cairo,TREX,Full Time,Posted 10 days ago,3 to 20 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Sr. Full-Stack Mobile Developer:As a Full-Stack developer we want you to be able to efficiently build maintain release data stores their NodeJS backend and Web/Mobile applications using React Native as Cross-Platform applicationResponsibilities & Duties:● Designing deploying and managing web and mobile applications that can run on multiple platforms● Package and Release web and mobile applications● Develop application features using NodeJS React Native and Redux● Build pixel-perfect buttery smooth UIs across mobile platforms● Leverage native APIs for deep integrations across mobile platforms● Writing Secure effective scalable and reusable code and ensure output is of the highest quality● Build and maintain MySQL Data store as well as availing Backend APIs to frontend,,,,,,,,,
Technical Application Consultant\Support,Cairo,BSmart,Full Time,Posted 10 days ago,3 to 6 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Responsibilities:Implement and configure software solutions against customer requirements on-premise or in the cloudCreating a project plan for each client detailing the tasks that need to be completed for the timely installation of customized software systems.Ensuring that the project team is aware of key deliverables and project milestones.Troubleshoot and resolve issues surrounding installation usage upgrade and training of products.Work closely with customers and key stakeholders to understand business and product needs.Support user acceptance testing when required.Support customer training either onsite at customer premises.Assist in documenting business and product processes to ensure compliance with process and qualityCreate requirements/user stories and effectively communicate these to the development team verbally and/or visually within Azure platform.Regularly refine and prioritize user stories/requirements based on changing business needs.As a team member of a service organization being able to provide core hours support application issues and troubleshooting then report any resulting bugs to the development team.Calling the potential customers got from (sales and marketing) activities answering their questions and performing technical demos when requested.Help in building the customer testing environment and follow up with all potential customers who are in the application validation phase.Local and International travel may be required,,,,,,,,,
SCM Consultant,Giza,Perfect Presentation,Full Time,Posted 10 days ago,8 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Job Summary:             As a senior will be responsible for overseeing and helping the ERP team's activities in the SCM domain it is essential to provide guidance and direction. Collaborate closely with functional managers to strategically design and optimize business processes. Additionally take an active role in handling the team's more intricate professional tasks personally.Duties and Responsibilities (include but not limited to):Execute day-to-day operations addressing issues that arise from regular system use offering production support and upholding the ERP platform.Facilitate the comprehension and mastery of solution design and functionality across various practices and domains of business processes.Aid in data merging migration efforts and the development of ERP interfaces both internal and external.Deliver user support providing guidance and addressing inquiries.Conduct root cause analyses for recurrent issues offering permanent solutions.Collaborate on both ERP and GRP initiatives.Evaluate user requirements prepare change requests for management approval including solution approaches and estimates of effort and cost.Initiate support tickets with Oracle support ensuring timely resolution. Coordinate with Oracle/Technical support DBAs technical consultants and other functional consultants to implement bug fixes and resolve issues.Coordinate with other application consultants to resolve issues and proactively prevent problems in various systems such as custom systems ERP and CRM. Provide user training for new functionalities to new and existing users.Thoroughly document all technical processes requirements workflows and diagrams.Prepare reports document findings and present analyses project statuses and identified risks and issues.Identify tasks and interrelationships to assess technical and cross-technical requirements effectively.Research existing systems and procedures making necessary changes and improvements.Engage in cross-technical cross-discipline project teams to maximize the benefits of Enterprise Resource Planning systems.Offer operational support in the development and maintenance of the enterprise information architecture.Support ERP initiatives by participating in the design development and implementation of plans that translate enterprise information system objectives into technical business systems.Contribute to person-centered care initiatives undertaken by 2P.Enhance the customer experience with compassion respect and dignity.Undertake other relevant tasks as needed.Collaborate closely to establish a well-managed service.Oversee and contribute to the Software Development Life Cycle (SDLC) to ensure that 2P's ERP and GRP systems remain state-of-the-art.,,,,,,,,,
HCM Consultant,Giza,Perfect Presentation,Full Time,Posted 10 days ago,8 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Job Summary:             As a senior will be responsible for overseeing and helping the ERP team's activities in the HCM domain it is essential to provide guidance and direction. Collaborate closely with functional managers to strategically design and optimize business processes. Additionally take an active role in handling the team's more intricate professional tasks personally.Duties and Responsibilities (include but not limited to):Execute day-to-day operations addressing issues that arise from regular system use offering production support and upholding the ERP platform.Facilitate the comprehension and mastery of solution design and functionality across various practices and domains of business processes.Aid in data merging migration efforts and the development of ERP interfaces both internal and external.Deliver user support providing guidance and addressing inquiries.Conduct root cause analyses for current issues offering permanent solutions.Collaborate on both ERP and GRP initiatives.Evaluate user requirements prepare change requests for management approval including solution approaches and estimates of effort and cost.Initiate support tickets with Oracle support ensuring timely resolution. Coordinate with Oracle/Technical support DBAs technical consultants and other functional consultants to implement bug fixes and resolve issues.Coordinate with other application consultants to resolve issues and proactively prevent problems in various systems such as custom systems ERP and CRM. Provide user training for new functionalities to new and existing users.Thoroughly document all technical processes requirements workflows and diagrams.Prepare reports document findings and present analyses project statuses and identified risks and issues.Identify tasks and interrelationships to assess technical and cross-technical requirements effectively.Research existing systems and procedures making necessary changes and improvements.Engage in cross-technical cross-discipline project teams to maximize the benefits of Enterprise Resource Planning systems.Offer operational support in the development and maintenance of the enterprise information architecture.Support ERP initiatives by participating in the design development and implementation of plans that translate enterprise information system objectives into technical business systems.Contribute to person-centered care initiatives undertaken by 2P.Enhance the customer experience with compassion respect and dignity.Undertake other relevant tasks as needed.Collaborate closely to establish a well-managed service.Oversee and contribute to the Software Development Life Cycle (SDLC) to ensure that 2P's ERP and GRP systems remain state-of-the-art.,,,,,,,,,
Senior Financial Consultant,Giza,Perfect Presentation,Full Time,Posted 10 days ago,8 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Job Summary:             As a senior will be responsible for overseeing and helping the ERP team's activities in the financial domain it is essential to provide guidance and direction. Collaborate closely with functional managers to strategically design and optimize business processes. Additionally take an active role in handling the team's more intricate professional tasks personally.Duties and Responsibilities (include but not limited to):Execute day-to-day operations addressing issues that arise from regular system use offering production support and upholding the ERP platform.Facilitate the comprehension and mastery of solution design and functionality across various practices and domains of business processes.Aid in data merging migration efforts and the development of ERP interfaces both internal and external.Deliver user support providing guidance and addressing inquiries.Conduct root cause analyses for recurrent issues offering permanent solutions.Collaborate on both ERP and GRP initiatives.Evaluate user requirements prepare change requests for management approval including solution approaches and estimates of effort and cost.Initiate support tickets with Oracle support ensuring timely resolution. Coordinate with Oracle/Technical support DBAs technical consultants and other functional consultants to implement bug fixes and resolve issues.Coordinate with other application consultants to resolve issues and proactively prevent problems in various systems such as custom systems ERP and CRM. Provide user training for new functionalities to new and existing users.Thoroughly document all technical processes requirements workflows and diagrams.Prepare reports document findings and present analyses project statuses and identified risks and issues.Identify tasks and interrelationships to assess technical and cross-technical requirements effectively.Research existing systems and procedures making necessary changes and improvements.Engage in cross-technical cross-discipline project teams to maximize the benefits of Enterprise Resource Planning systems.Offer operational support in the development and maintenance of the enterprise information architecture.Support ERP initiatives by participating in the design development and implementation of plans that translate enterprise information system objectives into technical business systems.Contribute to person-centered care initiatives undertaken by 2P.Enhance the customer experience with compassion respect and dignity.Undertake other relevant tasks as needed.Collaborate closely to establish a well-managed service.Oversee and contribute to the Software Development Life Cycle (SDLC) to ensure that 2P's ERP and GRP systems remain state-of-the-art.,,,,,,,,,
CVM Application Engineer,Cairo,eT3 - Tomorrow Information Technology,Full Time,Posted 10 days ago,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,The Application Consultant brings their technical and business knowledge about the campaign application and applies it to a specific customer. The Application Consultant will participate in the design development installation implementation and upgrade of the CVM applications. The Application Consultant provides leadership in utilizing a defined application methodology to be blended into the customer environment and get it fully integrated with various sources and channels. They must have the skills necessary to understand the overall data warehouse & cloud services.Key Areas of Responsibilities­           Gather and analyze business requirements.­           Support business users design and create CVM campaigns and provide business and technical recommendations.­           Design systems integration with campaign management solutions.­           Develop project documentation.­           Configure campaign applications to meet business requirements and needs.­           Provide guidance on campaign management solution design for any proposed enhancements.­           Create SQL Views on application reporting foundation to serve business reports.­           Provide support to complex incidents related to the implemented business solutions.­           Apply workaround fixes for failed jobs/engines.­           Review/fix/optimize any application object facing performance issue.­           Interface with global support team in-case for complex technical incidents related to the applications.­           Assist/Conduct User Acceptance Testing and presentations.­           Assist/Conduct business and technical training to customer.,,,,,,,,,
Odoo Developer,Cairo,AK IT Consulting,Full Time,Posted 10 days ago,2 to 4 years,Experienced (Non-Manager),Not Specified,Confidential,Create custom reportsCreate custom applications from scratchApply customization on the standard applicationsCustomize Odoo web applicationsApply changes to the journal entries created from the transactions for example manufacturing. journal entriesBuild APIs to integrate with other applicationsCreate any required integrations with Tax authorityDevelop and test Odoo modulesEnhance applications develop and configure features and functionalities that support business requirementsKeep different projects/versions under control using GitConsistently create quality software that meets the specific design and requirements on stated timelinesIntegrate Odoo with other web applications,,,,,,,,,
Oracle Apps Technical Consultant,Giza,Perfect Presentation,Full Time,Posted 10 days ago,8 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Job Summary:             As a Senior Technical Consultant you will be responsible for providing expert guidance and leadership in Oracle ERP implementation and maintenance. You will collaborate closely with cross-functional teams to design and optimize business processes ensuring the effective use of Oracle ERP solutions.Duties and Responsibilities (include but not limited to):    Lead and execute Oracle ERP implementation customization and maintenance projects. Work closely with functional team/managers to understand business requirements and translate them into technical solutions. Develop and maintain Oracle ERP interfaces both internal and external ensuring data integrity and system reliabilityProvide technical support and guidance to end-users addressing inquiries and resolving issues promptly. Conduct root cause analyses for technical issues and implement permanent solutions. Collaborate on Oracle ERP initiatives and projects ensuring alignment with organizational goals. Evaluate user requirements and prepare change requests for management approval including solution approaches and cost estimates. Initiate and manage support tickets with Oracle support coordinating with technical experts to implement bug fixes and resolve issues. Collaborate with other application consultants to proactively prevent problems in various systems offering user training for new functionalities. Document technical processes requirements workflows and system diagrams comprehensively. Prepare reports document findings and present project statuses analyses and identified risks and issues. Identify and assess technical requirements and interrelationships for effective project planning. Research existing systems and procedures making necessary improvements and optimizations. Engage in cross-functional project teams to maximize the benefits of Oracle ERP systems. Support the development and maintenance of the enterprise information architecture. Participate in the design development and implementation of plans that align with enterprise information system objectivesContribute to the achievement of organization-wide initiatives. Enhance the customer experience with professionalism respect and effective communication. Undertake other relevant tasks as required. Collaborate closely with cross-functional teams to ensure effective service management. Oversee and contribute to the Software Development Life Cycle (SDLC) to keep Oracle ERP systems up-to-date.,,,,,,,,,
Solution Architect,Cairo,eT3 - Tomorrow Information Technology,Full Time,Posted 10 days ago,10 to 12 years,Experienced (Non-Manager),Not Specified,Confidential,Leading teams of consultants in data integration business intelligence data modeling testing and solution architecture and coordinating their activities.Design develop test and support processes for extracting and loading and transforming data from source systems to DWH.Design data extraction loading and transforming processes to meet service-level agreements of big data pipelines.Analyze and optimize current solutions physical model optimization and query tuning.Ensure the highest quality of the delivered data products and services. Develop project deliverable documentation.Delegate technical responsibilities and monitor the progress of technical tasks.Deliver data products and solutions consistently on time and on budget.Work closely with project managers and practice leads during all phases of the development lifecycle.Work with Teradata project managers to scope projects and develop a statement of work project plan and risk analysis.,,,,,,,,,
